DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
06M540,A Philip Randolph Campus High School ,193,436,451,421
21K410,ABRAHAM LINCOLN HIGH SCHOOL ,379,386,429,385
17K382,ACADEMY FOR COLLEGE PREPARATION CAREER ,50,401,412,404
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY ,,,,
14K404,ACADEMY FOR YOUNG WRITERS ,70,377,366,365
30Q575,ACADEMY OF AMERICAN STUDIES ,120,502,505,515
32K403,ACADEMY OF ENVIRONMENTAL LEADERSHIP ,36,382,369,374
24Q264,ACADEMY OF FINANCE AND ENTERPRISE ,65,407,432,417
17K408,ACADEMY OF HOSPITALITY AND TOURISM ,31,400,405,399
27Q309,ACADEMY OF MEDICAL TECHNOLOGY ,,,,
08X450,ADLAI E STEVENSON HIGH SCHOOL ,,,,
07X600,ALFRED E SMITH HIGH SCHOOL ,53,367,372,354
32K554,ALL CITY LEADERSHIP SECONDARY ,29,394,420,395
02M047,AMERICAN SIGN LANG ENG DUAL ,11,405,415,385
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL ,35,349,329,341
11X299,ASTOR COLLEGIATE ACADEMY ,38,404,400,388
27Q400,AUGUST MARTIN HIGH SCHOOL ,102,377,372,362
14K610,AUTOMOTIVE HIGH SCHOOL ,73,353,359,340
30Q301,Academy for Careers in Television and Film ,,,,
11X270,Academy for Scholarship and Entrepreneurship ,37,373,376,362
05M367,Academy for Social Action ,,,,
04M635,Academy of Environment Science Secondary School ,39,380,385,354
19K618,Academy of Innovative Technology High School ,,,,
32K552,Academy of Urban Planning ,49,355,361,353
13K499,Acorn Association of Community Organization Return ,103,367,361,360
16K498,Acorn High School for Social Justice ,34,367,364,364
30Q580,BACCALAUREATE SCH GLOBAL EDUC ,64,560,587,570
08X530,BANANA KELLY HIGH SCHOOL ,48,377,382,368
01M696,BARD HIGH SCHOOL EARLY COLLEGE ,138,630,608,630
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II ,42,545,548,541
26Q495,BAYSIDE HIGH SCHOOL ,732,472,531,467
27Q410,BEACH CHANNEL HIGH SCHOOL ,114,393,390,380
03M479,BEACON SCHOOL ,237,573,563,575
13K595,BEDFORD ACADEMY HIGH SCHOOL ,50,453,469,441
13K670,BENJAMIN BANNEKER ACADEMY ,168,476,477,445
26Q415,BENJAMIN CARDOZO HIGH SCHOOL ,697,486,551,492
16K455,BOYS AND GIRLS HIGH SCHOOL ,143,369,367,366
11X290,BRONX ACAD OF HEALTH CAREERS ,46,369,363,380
08X560,BRONX ACADEMY HIGH SCHOOL ,19,373,354,364
11X545,BRONX AEROSPACE HIGH SCHOOL ,47,393,395,389
07X381,BRONX HAVEN HIGH SCHOOL ,15,335,342,372
11X265,BRONX LAB SCHOOL ,70,356,370,355
12X480,BRONX REGIONAL HIGH SCHOOL ,12,359,366,359
10X546,BRONX THEATER HIGH SCHOOL ,50,406,389,388
13K553,BROOKLYN ACADEMY HIGH SCHOOL ,19,403,384,377
18K578,BROOKLYN BRIDGE ACADEMY OF S SHORE ED CO ,20,389,358,369
23K493,BROOKLYN COLLEGIATE ,37,394,372,375
18K566,BROOKLYN GENERATION SCHOOL ,,,,
17K548,BROOKLYN HS MUSIC AND THEATER ,37,385,351,381
14K449,BROOKLYN LATIN SCHOOL ,50,536,534,527
15K429,BROOKLYN SCHOOL GLOBAL STUDIES ,50,374,365,374
21K690,BROOKLYN STUDIO SECONDARY SCH ,86,426,419,418
13K430,BROOKLYN TECHNICAL HIGH SCHOOL ,1047,588,652,581
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL ,,,,
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL ,20,356,358,366
32K549,BUSHWICK HS FOR SOCIAL JUSTICE ,72,363,364,358
29Q496,BUSINESS COMPUTER APPLICATION ,52,388,389,380
13K575,Bedford Stuyvesant Street Academy High School ,20,366,380,362
07X551,Bronx Academy of Letters ,51,416,406,435
11X418,Bronx High School for the Visual Arts ,54,419,403,392
09X525,Bronx Leadership Academy High School ,116,402,397,396
07X527,Bronx Leadership Academy II High School ,55,377,381,379
11X514,Bronxwood Peparatory Academy ,21,359,389,350
22K555,Brooklyn College Academy High School ,109,459,460,446
23K643,Brooklyn Democracy Academy ,18,347,371,323
15K656,Brooklyn High School of the Arts ,71,416,417,425
32K556,Bushwick Leaders High School for Academic Excel ,30,357,345,351
18K500,CANARSIE HIGH SCHOOL ,128,372,373,364
01M650,CASCADES HIGH SCHOOL ,35,411,401,401
04M555,CENTRAL PARK SECONDARY SCHOOL ,35,362,378,356
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH ,63,455,423,420
05M469,CHOIR ACADEMY OF HARLEM ,16,420,369,401
04M409,COALITION SCH SOCIAL CHANGE ,39,390,372,383
15K519,COBBE HILL SCHOOL AMERICAN STD ,44,365,358,360
07X321,CROTANA ACADEMY HIGH SCHOOL ,,,,
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCH ,50,398,402,378
24Q293,Civic Leadership Academy ,,,,
06M346,Community Health Academy Heights ,,,,
18K629,Cultural Academy for the Arts and Sciences ,,,,
09X329,DREAMYARD PREPARATORY SCHOOL ,46,394,404,389
13K265,Dr Susan S McKinney Secondary School of the Arts ,46,387,369,369
02M545,Dual Language and Asian Studies High School ,47,416,612,419
12X271,EAST BRONX ACADEMY FOR THE FUTURE ,22,415,390,397
19K409,EAST NEW YORK FAMILY ACADEMY ,61,435,428,414
25Q281,EAST WEST SCHOOL OF INTERNATIONAL STUDIE ,50,438,485,442
21K525,EDWARD R MURROW HIGH SCHOOL ,686,472,503,468
02M416,ELEANOR ROOSEVELT HIGH SCHOOL ,122,555,596,567
11X425,EVANDER CHILDS HIGH SCHOOL ,7,344,306,350
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL ,55,394,358,388
09X250,EXIMIUS COLLEGE PREP ACADEMY ,44,401,383,387
12X251,EXPLORATIONS ACADEMY ,34,364,364,344
09X231,Eagle Academy for Young Men ,66,391,399,386
14K685,El Puente Academy for Peace and Justice ,16,375,386,394
27Q465,FAR ROCKAWAY HIGH SCHOOL ,31,350,369,360
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL ,57,325,415,311
02M288,FOOD AND FNANCE HIGH SCHOOL ,50,422,412,407
07X520,FOREIGN LANGUAGE ACADEMY ,73,418,429,415
20K490,FORT HAMILTON HIGH SCHOOL ,581,416,486,409
14K322,FOUNDATIONS ACADEMY ,28,373,377,359
26Q430,FRANCIS LEWIS HIGH SCHOOL ,808,457,530,454
19K420,FRANKLIN K LANE HIGH SCHOOL ,140,353,379,341
03M860,FREDERICK DOUGLAS ACADEMY II ,33,414,410,406
05M499,FREDERICK DOUGLASS ACADEMY ,216,465,481,466
27Q260,FREDERICK DOUGLASS ACADEMY VI ,65,393,390,387
13K509,FREEDOM ACADEMY ,40,416,386,408
10X437,Fordham High School for the Arts ,42,377,375,375
10X438,Fordham Leadership Academy for Business Technolog ,71,375,385,373
30Q501,Frank Sinatra School of the Arts ,153,506,495,499
09X517,Frederick Douglass Academy III Secondary School ,44,399,414,406
16K393,Frederick Douglass Academy IV Seconday School ,29,429,421,424
23K514,Frederick Douglass Academy VII High School ,50,416,396,414
29Q272,GEORGE WASHINGTON CARVER HS ,68,425,435,418
11X541,GLOBAL ENTERPRISE HIGH SCHOOL ,43,372,359,373
02M374,GRAMERCY ARTS HIGH SCHOOL ,49,395,376,386
24Q485,GROVER CLEVELAND HIGH SCHOOL ,269,398,431,391
16K594,Gotham Professional Arts Academy ,,,,
05M285,HARLEM RENAISSANCE HIGH SCHOOL ,19,402,394,367
11X455,HARRY S TRUMAN HIGH SCHOOL ,201,380,384,379
14K640,HARRY VAN ARSDALE HIGH SCHOOL ,,,,
02M586,HARVEY MILK SCHOOL ,11,429,382,416
08X405,HERBERT H LEHMAN HIGH SCHOOL ,448,414,433,397
04M680,HERITAGE SCHOOL ,47,369,385,361
08X540,HIGH SCHOOL CMTY RESEARCH LRN ,29,356,376,368
02M600,HIGH SCHOOL FASHION INDUSTRIES ,301,419,420,413
17K528,HIGH SCHOOL FOR GLOBAL CITIZENSHIP ,81,382,387,381
02M294,HIGH SCHOOL FOR HIST AND COMM ,51,382,364,366
02M420,HIGH SCHOOL HLTH PROF HUMAN ,250,446,458,440
02M425,HIGH SCHOOL LEADERSHIP PUB SVC ,74,419,429,406
09X413,HIGH SCHOOL MEDICAL SCIENCES ,98,423,450,435
02M630,HIGH SCHOOL OF ART AND DESIGN ,212,427,423,418
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT ,33,370,427,381
10X433,HIGH SCHOOL TEACHING PROFESSNS ,50,386,385,381
09X543,HIGH SCHOOL VIOLIN AND DANCE ,26,332,379,337
17K539,HS FOR SERVICE AND LEARNING AT ERASMUS ,54,371,366,381
17K537,HS FOR YOUTH CMMTY DEVLPMT AT ERASMUS ,71,361,376,365
10X696,HS of American Studies at Lehman College ,74,635,630,619
02M489,HS of Economics And Finance ,147,451,503,453
02M625,HS of Graphic Commnctn And Art ,125,370,378,360
02M605,HUMANITIES PREPARATORY ACADEMY ,37,433,405,417
28Q690,High School For Law Enforcement And Public Safety ,62,408,429,412
18K617,High School for Innovation in Advertising and Media ,,,,
11X544,High School for the Contemporary Arts ,40,359,340,338
24Q267,High School of Applied Communication ,67,411,420,407
20K485,High School of Telecommunication Arts ,221,450,471,440
29Q498,Humanities and Arts Magnet High School ,45,383,371,370
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL ,140,440,452,424
03M404,INNOVATION DIPLOMA PLUS HIGH SCHOOL ,,,,
17K544,INTERNATIONAL ARTS BUSINESS HS ,49,392,390,381
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL ,33,322,335,327
18K563,IT TAKES A VILLAGE ACADEMY ,,,,
10X368,Information Technology Academy ,56,418,411,398
10X342,International School of Liberal Arts ,46,333,336,285
28Q470,JAMAICA HIGH SCHOOL ,153,393,400,391
22K425,JAMES MADISON HIGH SCHOOL ,641,449,478,445
14K071,JHS 071 JUAN MOREL CAMPOS ,59,362,369,349
27Q480,JOHN ADAMS HIGH SCHOOL ,302,399,424,404
08X650,Jane Addams Vocational High School ,152,370,377,363
21K400,LAFAYETTE HIGH SCHOOL ,40,327,367,315
03M485,LAGUARDIA HIGH SCH MUSIC ART ,594,558,555,567
02M419,LANDMARK SCHOOL ,47,369,370,359
29Q494,LAW GOVERNMENT SERVICE MAGNET ,60,406,412,391
09X276,LEADERSHIP INSTITUTE ,21,362,380,358
02M429,LEGACY SCH INTEGRATED STUDIES ,31,379,356,354
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUS ,,,,
02M655,LIFE SCIENCES SECONDARY SCHOOL ,71,399,389,383
75K371,LILLIAN L RASHKIS HS P371K ,,,,
30Q450,LONG ISLAND CITY HIGH SCHOOL ,296,418,434,408
03M470,LOUIS D BRANDEIS HIGH SCHOOL ,170,357,357,345
02M308,LOWER MANHATTAN ARTS ACADEMY ,35,409,381,412
02M550,Liberty High School Academy for Newcomers ,32,343,465,362
02M542,MANHATTAN BRIDGE HIGH SCHOOL ,31,345,380,325
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL ,31,418,463,415
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL ,23,406,378,391
02M439,MANHATTAN VILLAGE ACADEMY ,90,465,479,472
10X477,MARBLE HILL SCH INTL STUDIES ,70,406,429,403
26Q435,MARTIN VAN BUREN HIGH SCHOOL ,343,402,411,398
29Q492,MATH SCIENCE RESEARCH TECH MAG ,59,405,430,405
15K530,METROPOLITAN CORPORATE ACADEMY ,17,370,348,348
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL ,12,385,378,391
12X248,METROPOLITAN HIGH SCHOOL ,42,340,361,335
31R080,MICHAEL J PETRIDES SCHOOL ,86,508,523,502
08X312,MILLENNIUM ART ACADEMY ,41,380,389,371
12X692,MONROE ACAD VISUAL ARTS DESGN ,70,346,341,356
12X690,MONROE CAMPUS ,47,355,369,366
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIE ,22,388,352,378
09X252,MOTT HALL BRONX HIGH SCHOOL ,63,395,398,399
05M304,MOTT HALL HIGH SCHOOL ,63,424,421,410
06M293,MS 293 City College Academy of the Arts ,,,,
02M520,MURRY BERGTRAUM HIGH SCHOOL ,287,411,439,396
03M494,Martin Luther King Jr HS Arts and Technology ,60,407,425,397
12X245,NEW DAY ACADEMY ,24,368,349,358
02M620,NORMAN THOMAS HIGH SCHOOL ,152,378,387,370
18K635,OLYMPUS ACADEMY ,24,361,365,365
02M298,PACE HIGH SCHOOL ,71,424,448,423
15K520,PACIFIC HIGH SCHOOL ,9,356,352,343
04M495,PARK EAST HIGH SCHOOL ,46,360,374,362
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL ,42,406,415,394
11X542,PELHAM PREPARATORY ACADEMY ,92,427,416,424
29Q283,PREPARATORY ACADEMY FOR WRITERS ,18,413,402,388
75X012,PS12X LEWIS AND CLARK SCHOOL ,,,,
24Q296,Pan American International High School ,,,,
02M408,Professional Performng Arts School ,69,495,465,499
25Q540,QUEENS ACADEMY ,22,400,395,391
29Q248,QUEENS PREPARATORY ACADEMY ,46,372,388,381
10X141,RIVERDALE KINGSBRIDGE ACADEMY ,101,475,479,470
24Q560,ROBERT F WAGNER JR SECONDARY ,49,420,440,421
18K415,SAMUEL J TILDEN HIGH SCHOOL ,42,328,341,338
28Q338,SATELLITE ACADEMY ,22,346,351,338
01M458,SATELLITE ACADEMY FORSYTH ST ,26,385,370,378
19K683,SCHOOL FOR CLASSICS ,,,,
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP ,25,358,378,372
17K531,SCHOOL FOR HUMAN RIGHTS ,21,357,391,343
02M690,SCHOOL FOR THE PHYSICAL CITY ,14,382,404,359
15K497,SCHOOL INTERNATIONAL STUDIES ,45,402,414,382
17K543,SCIENCE TECH RESEARCH HS AT ERASMUS ,68,445,425,415
15K464,SECONDARY SCHOOL FOR RESEARCH ,65,373,395,368
15K463,SECONDARY SCHOOL JOURNALISM ,75,393,372,370
22K495,SHEEPSHEAD BAY HIGH SCHOOL ,192,380,416,380
07X221,SOUTH BRONX PREPARATORY ,60,399,393,382
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL ,287,638,673,617
02M475,STUYVESANT HIGH SCHOOL ,804,674,735,678
31R460,SUSAN E WAGNER HIGH SCHOOL ,531,463,482,457
02M570,Satellite Academy High School ,16,400,336,376
12X446,Schomburg Satellite Academy ,14,354,366,364
02M519,TALENT UNLIMITED HIGH SCHOOL ,124,465,454,461
23K697,TEACHERS PREPARATORY SCHOOL ,59,396,389,389
19K435,THOMAS JEFFERSON HIGH SCHOOL ,,,,
05M670,THURGOOD MARSHALL ACADEMY ,52,423,434,404
14K632,The Frances Perkins Academy ,,,,
10X225,Theatre Arts Production Company School ,53,382,375,363
02M565,URBAN ACADEMY ,34,513,460,502
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMIN ,34,349,370,363
04M695,URBAN PEACE ACADEMY ,23,366,382,362
18K642,Urban Action Academy ,,,,
02M305,Urban Assembly Academy of Government and Law ,48,411,406,411
03M307,Urban Assembly School For Media Studies ,53,374,363,377
09X241,Urban Assembly School for Applied Math Science ,,,,
07X548,Urban Assembly School for Careers in Sports ,58,381,423,384
02M316,Urban Assembly School of Business for Young Women ,52,401,409,391
02M300,Urban Assembly School of Design and Construction ,49,405,446,415
13K483,Urban Assembly School of Law and Justice ,104,414,415,412
13K350,Urban Assembly School of Music and Art ,59,394,371,371
09X263,VALIDUS PREPARATORY ACADEMY ,90,359,347,356
02M449,VANGUARD HIGH SCHOOL ,54,367,395,373
18K576,VICTORY COLLEGIATE HIGH SCHOOL ,,,,
24Q744,VOYAGES PREPARATORY HIGH SCHOOL ,7,416,413,364
03M415,WADLEIGH SECONDARY SCHOOL ,68,376,373,371
10X430,WALTON HIGH SCHOOL ,,,,
02M460,WASHINGTON IRVING HIGH SCHOOL ,163,381,385,368
10X243,WEST BRONX ACADEMY FOR FUTURE ,32,365,382,375
30Q445,WILLIAM C BRYANT HIGH SCHOOL ,322,405,456,408
14K561,WILLIAMSBURG PREP ,58,375,386,369
12X684,WINGS ACADEMY ,58,386,397,383
25Q285,WORLD JOURNALISM PREPARATORY SCHOOL ,56,429,425,421
19K510,World Acad for Total Community Health ,28,370,371,376
21K411,YABC AT ABRAHAM LINCOLN HIGH SCHOOL ,,,,
08X507,YABC AT ADLAI STEVENSON HIGH SCHOOL ,,,,
18K501,YABC AT CANARSIE HIGH SCHOOL ,,,,
17K467,YABC AT ERASMUS CAMPUS ,,,,
25Q467,YABC AT FLUSHING HIGH SCHOOL ,,,,
10X667,YABC AT GRACE DODGE HIGH SCHOOL ,13,367,378,358
27Q481,YABC AT JOHN ADAMS HIGH SCHOOL ,,,,
14K923,YABC at Automative High School ,,,,
12X428,YABC at Monroe Academy ,11,386,345,388
02M473,YABC at Washington Irving High School ,,,,
04M610,YOUNG WOMEN LEADERSHIP SCHOOL ,48,451,445,470
